"SCINAME","COMNAME","SVSPP","SVABBR","PYSPP","PYABBR","NODCCODE","NODCTYPE","NODCLEVL","NODCCTRL","NODCAUTH","AUTHOR","PICTURE","COMMNT","O_SVSCNM","O_SVCONM","O_SVSPP","DOC","UOC","DOE","UOE"
"SYRRHOE SP","",,"","411013001000000","SYRRSP","61695003","","G","","CHEVREUX, 1908","","","","","","",28-DEC-94,"RAR",,""
"TACHYRHYNCHUS EROSUS","ERODED TURRENTSNAIL",,"","514043201010000","TACERO","5103330101","","S","","(COUTHOUY, 1838)","AFS-1988","","FH-CORRECTED TYPO","","","",28-DEC-94,"RAR",,""
"TANAIDAE","",,"","411120200000000","TANFAM","615701","","F","","","","","SINGLE FAMILY IN TANAIDACEA IN AREA","","","",28-DEC-94,"RAR",,""
"TARATICHTHYS LONGIPINNIS","BIGSCALE POMFRET",130,"BIPOMF","","","8835710701","","","","","AFS-1991","","|SV|NODC: NAME CHANGE AFS-1980, NODC TO UPDATE GENUS NAME","Taractes longipinnis","Bigscale Pomfret","130",09-AUG-95,"BK",,""
"TAUTOGA ONITIS","TAUTOG",177,"TAUTOG","823214111010000","TAUONI","8839010101","","S","","(LINNAEUS)","AFS-1991","","","Tautoga onitis","Tautog","177",09-AUG-95,"BK",,""
"TAUTOGOLABRUS ADSPERSUS","CUNNER",176,"CUNNER","823214111020000","TAUADS","8839010201","","S","","(WALBAUM)","AFS-1991","","","Tautogolabrus adspersus","Cunner","176",09-AUG-95,"BK",,""
"TECTONATICA PUSILLA","MINIATURE MOONSNAIL",,"","514042307020000","TECPUS","5103760601","","S","","(SAY, 1822)","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"TELLINA AGILIS","NORTHERN DWARF-TELLIN",,"","512082706020000","TELAGI","5515310205","","S","","STIMPSON,1857","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"TELLINA SP","",,"","512082706000000","TELLSP","55153102","","G","","LINNAEUS,1758","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"TELLINIDAE","MACOMA, TELLEN, AND FAT-TELLEN CLAM UNCL",,"","512082700000000","TELFAM","551531","","F","","BLAINVILLE,1814","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"TEREBELLA LAPIDARIA","",,"","214170510010000","TERLAP","5001682202","","S","","LINNAEUS, 1767","","","","","","",28-DEC-94,"RAR",,""
"SPHOEROIDES TESTUDINEUS","CHECKERED PUFFER",846,"CHEPUFF","","","8861010202","","S","","(LINNAEUS)","AFS-1991","","","Sphoeroides testudineus","Checkered Puffer","846",09-AUG-95,"BK",,""
"SPHYRAENA BARRACUDA","GREAT BARRACUDA",693,"GRBARR","","","8837010104","","S","","(WALBAUM)","AFS-1991","","","Sphyraena barracuda","Great Barracuda","693",09-AUG-95,"BK",,""
"SPHYRAENA BOREALIS","NORTHERN SENNET",694,"SENNET","823217201040000","SPHBOR","8837010102","","S","","DEKAY","AFS-1991","","","Sphyraena borealis","Northern Sennet","694",09-AUG-95,"BK",,""
"SPHYRAENA GUACHANCHO","GUAGUANCHE",695,"GUAG","","","8837010103","","S","","CUVIER","AFS-1991","","","Sphyraena guachancho","Guaguanche","695",09-AUG-95,"BK",,""
"SPHYRAENA SP","BARRACUDA UNCL",620,"BARRU","823217201000000","SPHYSP","88370101","","G","","","AFS-1991","","SINGLE GENUS IN AREA |SV: CHANGED FAMILY TO SINGLE GENUS","Sphyraenidae sp","Barracuda Uncl","620",01-JAN-99,"FPA",,""
"SPHYRNA LEWINI","SCALLOPED HAMMERHEAD SHARK",362,"SCALHAMM","","","8708030103","","S","","(GRIFFITH AND SMITH, 1834)","AFS-1991","","","Sphyrna lewini","Scalloped Hammerhead","362",09-AUG-95,"BK",,""
"SPHYRNA MEDIA","SCOOPHEAD SHARK",937,"MEDIA","","","8708030108","","S","","SPRINGER, 1940","","","|SV: SOUTH AMER. SP., CHECK LOGS AND RECODE IF POSS.","Sphyrna media","Sphyrna Media","937",09-AUG-95,"BK",,""
"SPHYRNA MOKARRAN","GREAT HAMMERHEAD SHARK",363,"GREHAMM","","","8708030104","","S","","(RUPPELL, 1837)","AFS-1991","","","Sphyrna mokarran","Great Hammerhead","363",09-AUG-95,"BK",,""
"SPHYRNA TIBURO","BONNETHEAD SHARK",364,"BONNET","","","8708030101","","S","","(LINNAEUS, 1758)","AFS-1991","","","Sphyrna tiburo","Bonnethead","364",09-AUG-95,"BK",,""
"SPHYRNA TUDES","SMALLEYE HAMMERHEAD SHARK",365,"SMAHAMM","","","8708030105","","S","","(VALENCIENNES, 1822)","","","|SV: NOT IN US WATERS AFS-80, CHECK LOGS AND RECODE","Sphyrna tudes","Smalleye Hammerhead","365",09-AUG-95,"BK",,""
"SPHYRNA ZYGAENA","SMOOTH HAMMERHEAD SHARK",366,"SMOHAMM","","","8708030102","","S","","(LINNAEUS, 1758)","AFS-1991","","","Sphyrna zygaena","Smooth Hammerhead","366",09-AUG-95,"BK",,""
"SPIO FILICORNIS","",,"","214150813010000","SPIFIL","5001430701","","S","","(MUELLER, 1776)","","","","","","",28-DEC-94,"RAR",,""
