"SCINAME","COMNAME","SVSPP","SVABBR","PYSPP","PYABBR","NODCCODE","NODCTYPE","NODCLEVL","NODCCTRL","NODCAUTH","AUTHOR","PICTURE","COMMNT","O_SVSCNM","O_SVCONM","O_SVSPP","DOC","UOC","DOE","UOE"
"OPHICHTHUS PUNCTICEPS","PALESPOTTED EEL",396,"PALESPOT","","","8741131015","","S","","(KAUP, 1860)    SOCIETY, 1992","AFS-1991","","|SV: NAME CHANGE AFS-1990","Ophichthus ocellatus","Palespotted Eel","396",09-AUG-95,"BK",,""
"OPHIDIIDAE","CUSK-EEL UNCL",461,"CUSKEELU","823214800000000","OPHFA2","879201","","F","","","AFS-1991","","|SV: NOTE DUPLICATE CODE 424","Ophidiidae sp","Cusk-Eel Uncl","461",01-JAN-99,"FPA",,""
"OPHIDION BEANI","LONGNOSE CUSK-EEL",868,"LOCUSKEE","","","8792010601","","S","","JORDAN AND GILBERT, 1883","AFS-1991","","|SV: SEE DUP CODE 886, USE 868","Ophidion beani","Longnose Cusk-Eel","868",09-AUG-95,"BK",,""
"OPHIDION GRAYI","BLOTCHED CUSK-EEL",458,"BLCUSKEE","823214805050000","OPHGRA","8792010602","","S","","FOWLER","AFS-1991","","","Ophidion grayi","Blotched Cusk-Eel","458",09-AUG-95,"BK",,""
"OPHIDION HOLBROOKI","BANK CUSK-EEL",459,"BACUSKEE","823214805030000","OPHHOL","8792010603","","S","","(PUTNAM)","AFS-1991","","","Ophidion holbrooki","Bank Cusk-Eel","459",09-AUG-95,"BK",,""
"OPHIDION MARGINATUM","STRIPED CUSK-EEL",188,"STCUSKEE","823214805010000","OPHMAR","8792010613","","S","","","AFS-1991","","|SV: NAME CHANGE AFS-1980","Rissola marginata","Striped Cusk-Eel","188",09-AUG-95,"BK",,""
"OPHIDION SELENOPS","MOONEYE CUSK-EEL",869,"MOCUSKEE","","","8792010604","","S","","ROBINS AND BOHLKE","AFS-1991","","","Ophidion selenops","Mooneye Cusk-Eel","869",09-AUG-95,"BK",,""
"OPHIDION WELSHI","CRESTED CUSK-EEL",460,"CRCUSKEE","","","8792010605","","S","","(NICHOLS AND BREDER)","AFS-1991","","","Ophidion welshi","Crested Cusk-Eel","460",09-AUG-95,"BK",,""
"OPHIODERMA BREVISPINA","",,"","613020804010000","OPHBRE","8127050101","","S","","","","","","","","",28-DEC-94,"RAR",,""
"OPHIOGLYCERA GIGANTEA","",,"","214110804010000","OPHGIG","5001280401","","S","","","","","","","","",28-DEC-94,"RAR",,""
"OPHIOLEPIS SP","",,"","613021007000000","OPHIS1","81270110","","G","","MULLER & TROSCHEL, 1840","","","","","","",28-DEC-94,"RAR",,""
"OPHIOPHOLIS ACULEATA","DAISY BRITTLE STAR",,"","613020502010000","OPHAC1","8129020101","","S","","(LINNAEUS, 1767)","","","","","","",28-DEC-94,"RAR",,""
"OPHIOPHOLIS SP","",,"","613020502000000","OPHIS2","81290201","","G","","","","","","","","",28-DEC-94,"RAR",,""
"OPHIURA ROBUSTA","",,"","613021013010000","OPHROB","8127010611","","S","","","","","","","","",28-DEC-94,"RAR",,""
"OPHIURA SARSI","",,"","613021013020000","OPHSAR","8127010610","","S","","LUTKEN, 1855","","","","","","",28-DEC-94,"RAR",,""
"OPHIURA SP","",,"","613021013000000","OPHIS3","81270106","","G","","LAMARCK, 1816","","","","","","",28-DEC-94,"RAR",,""
"OPHIURIDA","",,"","613020000000000","OPHIUR","8126","","O","","MULLER & TROSCHEL, 1940","RUPPERT & BARNS 1994","","UPDATED TO POLYCHAET ORDER","","","",28-DEC-94,"RAR",,""
"OPHIUROIDEA","BRITTLE STAR AND BASKET STAR UNCL",,"","613000000000000","OPHIU1","8120","","","","GRAY, 1840","","","","","","",28-DEC-94,"RAR",,""
"OPISTHONEMA OGLINUM","ATLANTIC THREAD HERRING",428,"THRHERR","823080608010000","OPIOGL","8747010701","","S","","(LESUEUR, 1817)","AFS-1991","","","Opisthonema oglinum","Atlantic Thread Herring","428",09-AUG-95,"BK",,""
"OPISTOGNATHUS LONCHURUS","MOUSTACHE JAWFISH",696,"MOUJAW","","","8840020201","","S","","JORDAN AND GILBERT","AFS-1991","","","Opistognathus lonchurus","Moustache Jawfish","696",09-AUG-95,"BK",,""
"OPISTOGNATHUS MAXILLOSUS","MOTTLED JAWFISH",697,"MOTJAW","","","8840020202","","S","","(POEY, 1860)","AFS-1991","","","Opistognathus maxillosus","Mottled Jawfish","697",09-AUG-95,"BK",,""
"OPSANUS PARDUS","LEOPARD TOADFISH",443,"LEOTOAD","","","8783010203","","S","","GOODE AND BEAN","AFS-1991","","","Opsanus pardus","Leopard Toadfish","443",09-AUG-95,"BK",,""
"OPSANUS TAU","OYSTER TOADFISH",185,"OYSTOAD","","","8783010201","","S","","(LINNAEUS)","AFS-1991","","","Opsanus tau","Oyster Toadfish","185",09-AUG-95,"BK",,""
"ORBINIA ORNATA","",,"","214090102040000","ORBORN","5001400503","","S","","","","","","","","",28-DEC-94,"RAR",,""
"ORBINIIDA","",,"","214090000000000","ORBINI","NONE","","","","","FOX AND RUPPERT 1988","","NODC LACKS THIS POLYCHAET ORDER","","","",28-DEC-94,"RAR",,""
"ORBINIIDAE","",,"","214090100000000","ORBFAM","500140","","F","","HARTMAN, 1942","","","","","","",28-DEC-94,"RAR",,""
"ORCHOMENELLA GROENLANDICA","",,"","411011805010000","ORCGRO","6169345202","","S","","","","","","","","",28-DEC-94,"RAR",,""
"ORCHOMENELLA MINUTA","",,"","411011805020000","ORCMIN","6169345201","","S","","","","","","","","",28-DEC-94,"RAR",,""
"ORCHOMENELLA PINGUIS","",,"","411011805030000","ORCPIN","6169345203","","S","","","","","","","","",28-DEC-94,"RAR",,""
"ORCHOMENELLA SP","",,"","411011805000000","ORCHSP","61693452","","G","","","","","","","","",28-DEC-94,"RAR",,""
"ORTHOPRISTIS CHRYSOPTERA","PIGFISH",142,"PIG","823215807010000","ORTCHR","8835400201","","S","","(LINAEUS)","AFS-1991","","","Orthopristis chrysoptera","Pigfish","142",09-AUG-95,"BK",,""
"OSMERUS MORDAX","RAINBOW SMELT",45,"RASMELT","823081404020000","OSMMOR","8755030302","","S","","(MITCHILL, 1814)","AFS-1991","","","Osmerus mordax","Rainbow Smelt","045",09-AUG-95,"BK",,""
"OSTEICHTHYES","BONY FISH UNCL",,"","823000000000000","OSTEIC","8717","","C","","","AFS-1991","","","","","",28-DEC-94,"RAR",,""
"OSTICHTHYS TRACHYPOMA","BIGEYE SOLDIERFISH",483,"BISOLD","","","8810080301","","S","","(GUENTHER)","AFS-1991","","|SV: SPELLING CHANGE AFS-1980","Ostichthys trachypomus","Bigeye Soldierfish","483",09-AUG-95,"BK",,""
"OSTRACODA","OSTRACOD UNCL",,"","411090000000000","OSTRAC","6110","","","","LATREILLE, 1806","","","","","","",28-DEC-94,"RAR",,""
"OSTREIDAE","OYSTER UNCL",,"","512060700000000","OSTFAM","551002","","F","","RAFINESQUE,1815","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"OTOPHIDIUM OMOSTIGMUM","POLKA-DOT CUSK-EEL",186,"POCUSKEE","","","8792010701","","S","","(JORDAN AND GILBERT)","AFS-1991","","","Otophidium omostigmum","Polka-Dot Cusk-Eel","186",09-AUG-95,"BK",,""
"OVALIPES OCELLATUS","LADY CRAB",322,"LADYCRAB","411023005010000","OVAOCE","6189010502","","S","","(HERBST, 1799)","AFS-1989","","","Ovalipes ocellatus","Lady Crab","322",09-AUG-95,"BK",,""
"NEOMYSIS AMERICANA","",,"","411060311010000","NEOAME","6153011508","","S","","(S.I.SMITH)","","","","","","",28-DEC-94,"RAR",,""
"NEOPLEUSTES PULCHELLUS","",,"","411012501010000","NEOPUL","6169430202","","S","","KROYER, 1846","?","","NEEDS VERIFI., PARAPLEUSTES PULCHELLA","","","",28-DEC-94,"RAR",,""
"NEPHTYIDAE","",,"","214111300000000","NEPFAM","500125","","F","","","","","","","","",28-DEC-94,"RAR",,""
"NEPHTYS BUCERA","",,"","214111303010000","NEPBUC","5001250114","","S","","EHLERS","","","","","","",28-DEC-94,"RAR",,""
"NEPHTYS CAECA","",,"","214111303020000","NEPCAE","5001250103","","S","","(FABRICIUS)","","","","","","",28-DEC-94,"RAR",,""
"NEPHTYS CILIATA","",,"","214111303030000","NEPCIL","5001250102","","S","","","","","","","","",28-DEC-94,"RAR",,""
"NEPHTYS DISCORS","",,"","214111303040000","NEPDIS","5001250108","","S","","","","","","","","",28-DEC-94,"RAR",,""
"NEPHTYS INCISA","",,"","214111303050000","NEPINC","5001250115","","S","","MALMGREN","","","","","","",28-DEC-94,"RAR",,""
"NEPHTYS LONGOSETOSA","",,"","214111303060000","NEPLON","5001250109","","S","","","","","","","","",28-DEC-94,"RAR",,""
"NEPHTYS PICTA","",,"","214111303090000","NEPPIC","5001250117","","S","","EHLERS","","","","","","",28-DEC-94,"RAR",,""
"NEPHTYS SP","",,"","214111303000000","NEPHSP","50012501","","G","","","","","","","","",28-DEC-94,"RAR",,""
"NEPTUNEA DECEMCOSTATA","TEN-RIDGED WHELK",345,"","","","5105050811","","S","","(SAY,1826)","GOSNER-133","","|SV: AFS-1988 CONSIDERS SUBSPECIES OF N. LYRATA","Neptunea decemcostata","Ten-Ridged Whelk","345",09-AUG-95,"BK",,""
"NEREIDAE","",,"","214111400000000","NERFAM","500124","","F","","","","","","","","",28-DEC-94,"RAR",,""
"NEREIMYRA SP","",,"","214110903000000","NERESP","50012103","","G","","","","","","","","",28-DEC-94,"RAR",,""
"NEREIS ACUMINATA","",,"","214111405010000","NERACU","5001240417","","S","","","","","","","","",28-DEC-94,"RAR",,""
"NEREIS GRAYI","",,"","214111405040000","NERGRA","5001240409","","S","","PETTIBONE","","","","","","",28-DEC-94,"RAR",,""
"NEREIS PELAGICA","",,"","214111405050000","NERPEL","5001240403","","S","","","","","","","","",28-DEC-94,"RAR",,""
"NEREIS SP","",,"","214111405000000","NERES1","50012404","","G","","","","","","","","",28-DEC-94,"RAR",,""
"NEREIS SUCCINEA","",,"","214111405070000","NERSUC","5001240309","","S","S","(FREY AND LEUCHART, 1847)","","","","","","",28-DEC-94,"RAR",,""
"NEREIS VIRENS","",,"","214111405080000","NERVIR","5001240302","","S","S","","","","","","","",28-DEC-94,"RAR",,""
"NEREIS ZONATA","",,"","214111405090000","NERZON","5001240406","","S","","","","","","","","",28-DEC-94,"RAR",,""
"NESIARCHUS NASUTUS","BLACK GEMFISH",227,"LONESCO","","","8850010701","","S","","JOHNSON, 1862","NAKAMURA AND PARIN","NAKAMURA & PARIN 1993, 15:35, FIG. 64","|SV: UNLIKELY SP. FROM S. FL., CHECK LOGS AND RECODE IF NECESSARY","Nesiarchus nasutus","Longnose Escolar","227",09-AUG-95,"BK",,""
"NEVERITA DUPLICATA","SHARK EYE",349,"","","","5103760704","","S","","(SAY, 1822)","AFS-1988","","|SV: CORRECTED TO AFS-88 STANDARD","Polinices duplicatus","Shark'S Eye Or Lobed Moonshell","349",09-AUG-95,"BK",,""
"NEZUMIA BAIRDI","MARLIN-SPIKE",91,"MSPIKE","","","8794010802","","S","","(GOODE AND BEAN)","AFS-1991","","","Nezumia bairdi","Marlin-Spike","091",09-AUG-95,"BK",,""
"NICHOLSINA USTA","EMERALD PARROTFISH",685,"EMEPARR","823216301010000","NICUST","8839030301","","S","","(VALENCIENNES)","AFS-1991","","","Nicholsina usta","Emerald Parrotfish","685",18-JUN-02,"FALMEIDA",,""
"NICOLEA SP","",,"","214170506000000","NICOSP","50016806","","G","","","","","","","","",28-DEC-94,"RAR",,""
"NICOLEA VENUSTULA","",,"","214170506010000","NICVEN","5001680602","","S","","","","","","","","",28-DEC-94,"RAR",,""
"NICOMACHE LUMBRICALIS","",,"","214020308010000","NICLUM","5001630501","","S","","","","","","","","",28-DEC-94,"RAR",,""
"NICOMACHE SP","",,"","214020308000000","NICOS1","50016305","","G","","","","","","","","",28-DEC-94,"RAR",,""
"NINOE NIGRIPES","",,"","214050706020000","NINNIG","5001310204","","S","","","","","","","","",28-DEC-94,"RAR",,""
"NO FISH BUT GOOD TOW","WATER HAUL",300,"WATER","","","NONE","","","","","RSI-1996","","SPECIAL RSI CODE TO INDICATE NO CATCH IN TRAWL TOW","No fish but good tow","Water Haul","300",09-AUG-95,"BK",,""
"NOTHRIA CONCHYLEGA","",,"","214050903010000","NOTCON","5001290301","","S","","","","","","","","",28-DEC-94,"RAR",,""
"NOTOACMEA TESTUDINALIS","PLANT LIMPET",,"","514020102020000","NOTTES","5102050306","","S","","(MULLER, 1776)","AFS-1988","","MONOTYPIC GENUS IN AREA, CORRECTED SPELLING ERROR","","","",28-DEC-94,"RAR",,""
"NOTOCIRRUS SPINIFERUS","",,"","214050103010000","NOTOSP","5001330301","","S","","(MOORE)","","","","","","",28-DEC-94,"RAR",,""
"ARCTOZENUS RISSOI","WHITE BARRACUDINA",246,"WCUDINA","","","8762070201","","S","","(BONAPARTE, 1841)","Post 1987","ROFEN 1966 FWNA 5:280, FIG. 86","|SV: SEE CODE 247","Notolepis rissoi","White Barracudina","246",08-MAR-99,"JM",,""
"NOTOMASTUS LATERICEUS","",,"","214020205010000","NOTLAT","5001600306","","S","","SARS","","","","","","",28-DEC-94,"RAR",,""
"NOTOMASTUS SP","",,"","214020205000000","NOTOS1","50016003","","G","","","","","","","","",28-DEC-94,"RAR",,""
"NUCULA AEGEENSIS","AEGEAN NUTCLAM",,"","512040302010000","NUCAEG","5502020215","","S","","JEFFREYS,1879","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"NUCULA DELPHINODONTA","DOLPHINTOOTH NUTCLAM",,"","512040302050000","NUCDEL","5502020206","","S","","MIGHELS AND C.B. ADAMS,1842","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"NUCULA PROXIMA","ATLANTIC NUTCLAM",,"","512040302080000","NUCPRO","5502020204","","S","","SAY,1822","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"NUCULA SP","",,"","512040302000000","NUCUSP","55020202","","G","","LAMARCK,1799","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"NUCULA TENUIS","SMOOTH NUTCLAM",,"","512040302090000","NUCTEN","5502020201","","S","","(MONTAGU,1908)","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"NUCULANA PERNULA","NORTHERN NUTCLAM",,"","512040201120000","NUCPER","5502040201","","S","","(MULLER,1779)","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"NUCULANA SP","",,"","512040201000000","NUCUS1","55020402","","G","","LINK,1807","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"NUCULANA TENUISULCATA","THIN NUTCLAM",,"","512040201180000","NUCTE1","5502040211","","S","","(COUTHOUY,1838)","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"NUDIBRANCHIA","SEA SLUG UNCL",,"","514010000000000","NUDIBR","5127","","O","","CUVIER,1817","AFS-1988","","POSS. CONF. WITH HOLOTHOROIDEA 81-90","","","",28-DEC-94,"RAR",,""
"NYCTIPHANES OUCHI","",,"","411050106010000","NYCCOU","6174020501","","S","","(BELL, 1853)","NODC","","DROPED I, USED NODC SPELLING","","","",28-DEC-94,"RAR",,""
"NYMPHON GROSSIPES","",,"","412010401020000","NYMGRO","6001010101","","S","","","","","","","","",28-DEC-94,"RAR",,""
"NYMPHON SP","",,"","412010401000000","NYMPSP","60010101","","G","","","","","","","","",28-DEC-94,"RAR",,""
"NYMPHON STROEMI","",,"","412010401100000","NYMSTR","6001010112","","","","","MCCLOSKEY 1973","","ORIGINAL SPELLING WITH GERMAN ""o"" WHICH TRANSLATS TO OE, NODC TO VER/CORR?","","","",28-DEC-94,"RAR",,""
"OBELIA SP","",,"","051010205000000","OBELSP","37040102","","G","","PERON & LESUEUR,1810","AFS-1991","","","","","",28-DEC-94,"RAR",,""
"OCTOPODA","OCTOPUS UNCL",510,"OCTOPUSU","515020000000000","OCTOPO","5708","","O","","","AFS-1988","","|SV: OCTOPUS=OCTOPODA","Cephalopoda sp","Octopus Uncl","510",01-JAN-99,"FPA",,""
"OCTOPODA BEAKS","OCTOPOD BEAKS",,"","515020000000005","OCTBEA","NONE","","","","","FH-1995","","SPECIAL FCDI STRUCTURE CODE","","","",28-DEC-94,"RAR",,""
"OCYURUS CHRYSURUS","YELLOWTAIL SNAPPER",594,"YELSNAP","","","8835360401","","S","","(BLOCH)","AFS-1991","","","Ocyurus chrysurus","Yellowtail Snapper","594",09-AUG-95,"BK",,""
"CARCHARIAS TAURUS","SAND TIGER",12,"SANDTIG","822031002020000","ODOTAU","8707030101","","S","","RAFINESQUE","AFS-1991","","Genus name correction, DEC-2000","Odontaspis taurus","Sand Tiger","012",09-AUG-95,"BK",,""
"OEDICEROTIDAE","",,"","411012000000000","OEDFAM","616937","","F","","","","","","","","",28-DEC-94,"RAR",,""
"OGCOCEPHALIDAE","BATFISH UNCL",452,"BATU","","","878704","","F","","","AFS-1991","","|SV: MINOR EDITS","Ogcocephalidae sp","Batfish Uncl","452",01-JAN-99,"FPA",,""
"OGCOCEPHALUS CORNIGER","LONGNOSE BATFISH",206,"LONBAT","","","8787040109","","S","","BRADBURY, 1980","AFS-1991","","|SV: NAME CHANGE AFS-1990, NEW CONFLICT CODE 884","Ogcocephalus vespertilio","Longnose Batfish","206",09-AUG-95,"BK",,""
"OGCOCEPHALUS NASUTUS","SHORTNOSE BATFISH",450,"SHOBAT","","","8787040103","","S","","VALENCIENNES","AFS-1991","","","Ogcocephalus nasutus","Shortnose Batfish","450",09-AUG-95,"BK",,""
"OGCOCEPHALUS PARVUS","ROUGHBACK BATFISH",451,"ROUBAT","","","8787040105","","S","","LONGLEY HILDEBRAN","AFS-1991","","","Ogcocephalus parvus","Roughback Batfish","451",09-AUG-95,"BK",,""
"OGCOCEPHALUS RADIATUS","POLKA-DOT BATFISH",883,"POLBAT","","","8787040106","","S","","(MITCHILL, 1818)","AFS-1991","","","Ogcocephalus radiatus","Polka-Dot Batfish","883",09-AUG-95,"BK",,""
"OGYRIDES SP","LONGEYE SHRIMP UNCL",,"","411022303000000","OGYRSP","61791501","","G","","","AFS-1989","","","","","",28-DEC-94,"RAR",,""
"CERATOSCOPELUS MADERENSIS","HORNED LANTERNFISH",54,"--DNU--","823180500000000","MYCFAM","876214","","F","","","AFS-1991","","|SV: LUMPED ALL SPP INTO FAMILY, DIFFICULT TO ID, SV CHECK & CHANGE TO 056","Ceratoscopelus maderensis","Horned Lanternfish","054",09-AUG-95,"BK",,""
"MYCTOPHUM PUNCTATUM","SPOTTED LANTERNFISH",55,"--DNU--","823180500000000","MYCFAM","876214","","F","","","AFS-1991","","|SV: LUMPED ALL SPP INTO FAMILY, DIFFICULT TO ID, SV CHECK & CHANGE TO 056","Myctophum punctatum","Spotted Lanternfish","055",09-AUG-95,"BK",,""
"MYCTOPHIDAE","LANTERNFISH UNCL",56,"MYCTOPH","823180500000000","MYCFAM","876214","","F","","","AFS-1991","","|SV: CORRECTED TO FAMILY, SV TO REMOVE DUP CODE 220, USE THIS CODE","Myctophid sp","Lanternfish Uncl","056",01-JAN-99,"FPA",,""
"HYGOPHUM TAANINGI","",57,"--DNU--","823180500000000","MYCFAM","876214","","F","","","AFS-1991","","|SV: LUMPED ALL SPP INTO FAMILY, DIFFICULT TO ID, SV CHECK & CHANGE TO 056","Hygophum taaningi","Hygophum Taaningi","057",09-AUG-95,"BK",,""
"NOTOSCOPELUS RESPLENDENS","PATCHWORK LAMPFISH",58,"--DNU--","823180500000000","MYCFAM","876214","","F","","","AFS-1991","","|SV: LUMPED ALL SPP INTO FAMILY, DIFFICULT TO ID, SV CHECK & CHANGE TO 056","Notoscopelus resplendens","Notoscopelus Resplendens","058",09-AUG-95,"BK",,""
"GONICHTHYS COCCOI","",59,"--DNU--","823180500000000","MYCFAM","876214","","F","","","AFS-1991","","|SV: LUMPED ALL SPP INTO FAMILY, DIFFICULT TO ID, SV CHECK & CHANGE TO 056","Diaphus dumerlii","Gonichthys Cocco","059",09-AUG-95,"BK",,""
"DIAPHUS SP","HEADLIGHTFISH UNCL",61,"--DNU--","","MYCFAM","876214","","F","","","","","|SV: TAXONOMIC CONFUSION, SV TO CHECK AND CHANGE CODE TO 056","Diaphus sp","Headlightfish Uncl","061",01-JAN-99,"FPA",,""
"DIAPHUS DUMERILI","HEADLIGHTFISH",210,"--DNU--","","MYCFAM","876214","","F","","","","","|SV: DIFFICULT IDS LUMPED TO FAMILY FOR GF SURVEYS, CHECK LOG AND RECODE TO 056","Diaphus dumerilii","Headlight Fish","210",09-AUG-95,"BK",,""
"BENTHOSEMA GLACIALE","GLACIER LANTERNFISH",51,"--DNU--","823180500000000","MYCFAM","876214","","F","","","AFS-1991","","|SV: LUMPED ALL SPP INTO FAMILY, SV CHECK & CHANGE TO 056","Benthosema glaciale","Glacier Lanternfish","051",09-AUG-95,"BK",,""
"MYLIOBATIS FREMINVILLEI","BULLNOSE RAY",19,"BULLRAY","","","8713070201","","S","","LESUEUR","AFS-1991","","","Myliobatis freminvillei","Bullnose Ray","019",09-AUG-95,"BK",,""
"MYLIOBATIS GOODEI","SOUTHERN EAGLE RAY",378,"SOEAGLE","","","8713070203","","S","","GARMAN","AFS-1991","","","Myliobatis goodei","Southern Eagle Ray","378",09-AUG-95,"BK",,""
"MYONERA LAMELLIFERA","SHINGLED MYONERIA",,"","512050104010000","MYOLAM","5520100303","","S","","(DALL,1881)","AFS-1988","","MONOTYPIC GENUS IN AREA","","","",28-DEC-94,"RAR",,""
"MYOXOCEPHALUS AENAEUS","GRUBBY",166,"GRUBBY","823212324010000","MYOAEN","8831022210","","S","","(MITCHILL)","AFS-1991","","","Myoxocephalus aenaeus","Grubby","166",09-AUG-95,"BK",,""
"MYOXOCEPHALUS OCTODECEMSPINOSUS","LONGHORN SCULPIN",163,"LONSCUL","823212324040000","MYOOCT","8831022209","","S","","(MITCHILL)","AFS-1991","","","Myoxocephalus octodecemspinosus","Longhorn Sculpin","163",09-AUG-95,"BK",,""
"MYOXOCEPHALUS OCTODECEMSPINOSUS EGGS","LONGHORN SCULPIN EGGS",,"","823212324040100","MYOOC1","NONE","","","","","FH-1995","","SPECIAL FCDI LIFE STAGE CODE","","","",28-DEC-94,"RAR",,""
"MYOXOCEPHALUS QUADRICORNIS","FOURHORN SCULPIN",772,"4SCUL","","","8831022205","","S","","(LINNAEUS)","AFS-1991","","","Myoxocephalus quadricornis","Fourhorn Sculpin","772",09-AUG-95,"BK",,""
"MYOXOCEPHALUS SCORPIUS","SHORTHORN SCULPIN",162,"SHOSCUL","823212324080000","MYOSCO","8831022207","","S","","(LINNAEUS)","AFS-1991","","","Myoxocephalus scorpius","Shorthorn Sculpin","162",09-AUG-95,"BK",,""
"MYOXOCEPHALUS SP","",,"","823212324000000","MYOXSP","88310222","","G","","","AFS-1991","","","","","",28-DEC-94,"RAR",,""
"MYOXOCEPHALUS SP EGGS","",,"","823212324000100","MYOXS1","NONE","","","","","FH-1995","","SPECIAL FCDI LIFE STAGE CODE","","","",28-DEC-94,"RAR",,""
"MYRICHTHYS OCELLATUS","GOLDSPOTTED EEL",,"","823030803010000","MYROCE","8741130708","","S","","(LESUEUR, 1825)","AFS-1991","","","","","",28-DEC-94,"RAR",,""
"MYRIOCHELE HEERI","",,"","214100101010000","MYRHEE","5001640201","","S","","","","","","","","",28-DEC-94,"RAR",,""
"MYRIOCHELE HEERI TUBES","",,"","214100101010009","MYRHE1","NONE","","","","","FH-1995","","SPECIAL FCDI STRUCTURE CODE","","","",28-DEC-94,"RAR",,""
"MYRIOCHELE SP","",,"","214100101000000","MYRISP","50016402","","G","","","","","","","","",28-DEC-94,"RAR",,""
"MYRIPRISTIS JACOBUS","BLACKBAR SOLDIERFISH",482,"BLSOLD","","","8810080201","","S","","CUVIER","AFS-1991","","","Myripristis jacobus","Blackbar Soldierfish","482",09-AUG-95,"BK",,""
"MYROPHIS PUNCTATUS","SPECKLED WORM EEL",393,"SPEWORM","","","8741130802","","S","","LUETKEN, 1851","AFS-1991","","","Myrophis punctatus","Speckled Worm Eel","393",09-AUG-95,"BK",,""
"MYSIDACEA","MYSID UNCL",,"","411060000000000","MYSIDA","6151","","O","","","","","","","","",28-DEC-94,"RAR",,""
"MYSIDAE","",,"","411060300000000","MYSFAM","615301","","F","","","","","","","","",28-DEC-94,"RAR",,""
"MYSIDOPSIS BIGELOWI","",,"","411060309010000","MYSBIG","6153012101","","S","","TATTERSALL","","","","","","",28-DEC-94,"RAR",,""
"MYSIDOPSIS SP","",,"","411060309000000","MYSISP","61530121","","G","","","","","","","","",28-DEC-94,"RAR",,""
"MYSIS MIXTA","",,"","411060310010000","MYSMIX","6153011401","","S","","LILLJEBORG","","","","","","",28-DEC-94,"RAR",,""
"MYSIS SP","",,"","411060310000000","MYSIS1","61530114","","G","","","","","","","","",28-DEC-94,"RAR",,""
"MYTILIDAE","MUSSEL UNCL",,"","512030100000000","MYTFAM","550701","","","","","AFS-1988","","MATCHES TO NODC ""MYTILIDAE (MOLLUSCA)""","","","",28-DEC-94,"RAR",,""
"MYTILUS EDULIS","BLUE MUSSEL",343,"","512030114010000","MYTEDU","5507010101","","S","","LINNAEUS,1758","AFS-1988","","MONOTYPIC GENUS IN AREA","Mytilus edulis","Blue Mussel","343",09-AUG-95,"BK",,""
"MYXICOLA INFUNDIBULUM","",,"","214130208010000","MYXINF","5001700502","","S","","(RENIER)","","","","","","",28-DEC-94,"RAR",,""
"MYXINE GLUTINOSA","ATLANTIC HAGFISH",1,"HAGFISH","821010101010000","","8606010201","","S","","LINNAEUS","AFS-1991","","","Myxine glutinosa","Atlantic Hagfish","001",09-AUG-95,"BK",,""
"MYXINIDAE","HAGFISH UNCL",,"","821010100000000","MYXFAM","860601","","F","","","AFS-1991","","","","","",28-DEC-94,"RAR",,""
"NARCINE BRASILIENSIS","LESSER ELECTRIC RAY",367,"ELECRAY","","","8713030401","","S","","(OLFERS)","AFS-1991","","","Narcine brasiliensis","Lesser Electric Ray","367",09-AUG-95,"BK",,""
"NASSARIUS SP","",347,"","514080601000000","NASSSP","51050801","","G","","DUMERIL,1806","AFS-1988","","|SV: UNKNOWN MUD SNAIL, SOMETIME CALLED DOG WHELKS","Nassarius spp.","Dog Whelk","347",09-AUG-95,"BK",,""
"NATICA CLAUSA","ARCTIC MOONSNAIL",,"","514042303010000","NATCLA","5103760201","","S","","BRODERIP, AND SOWERBY, 1829","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"NATICIDAE","MOON SNAIL, SHARK EYE, AND BABY-EAR UNCL",338,"MOONS","514042300000000","NATFAM","510376","","F","","GRAY, 1840","AFS-1988","","TAXON CONFUSION, ID CONFUSION |SV: CORRECTED TO AFS-88 STANDARD","Naticidae sp","Moon Snail Uncl","338",08-MAR-99,"FPA",,""
"NAUCRATES DUCTOR","PILOTFISH",576,"PILOT","823211417000000","NAUDUC","8835281501","","S","","(LINNAEUS)","AFS-1991","","","Naucrates ductor","Pilotfish","576",09-AUG-95,"BK",,""
"NAUSHONIA CRANGONOIDES","",,"","411020103010000","NAUCRA","6183030101","","S","","KINGSLEY, 1897","AFS-1989","","","","","",28-DEC-94,"RAR",,""
"NEBALIACEA","",,"","411100000000000","NEBALI","6145","","O","","","","","","","","",28-DEC-94,"RAR",,""
"NEGAPRION BREVIROSTRIS","LEMON SHARK",359,"LEMONSH","","","8708020801","","S","","(POEY, 1868)","AFS-1991","","","Negaprion brevirostris","Lemon Shark","359",09-AUG-95,"BK",,""
"NEMATODA","ROUND WORM UNCL",,"","113000000000000","NEMATO","47","","P","","","","","","","","",28-DEC-94,"RAR",,""
"NEMERTEA","RIBBON WORM UNCL",,"","090000000000000","NEMERT","43","","P","","","","","","","","",28-DEC-94,"RAR",,""
